,COUNTRY,SC
0,AFG,-1.18
1,AGO,-0.6
2,ALB,-0.41
3,ARE,1.16
4,ARG,-0.45
5,ARM,0.03
6,AUS,1.76
7,AUT,1.26
8,AZE,-1.04
9,BDI,-1.52
10,BEL,1.5
11,BEN,-0.12
12,BFA,-0.08
13,BGD,-1.08
14,BGR,-0.16
15,BHR,0.14
16,BHS,1.26
17,BIH,-0.68
18,BLR,-0.58
19,BOL,-0.89
20,BRA,-0.57
21,CAF,-1.25
22,CAN,1.66
23,CHE,2.01
24,CHL,0.97
25,CHN,0.02
26,CIV,-0.35
27,CMR,-1.13
28,COD,-1.54
29,COL,-0.36
30,CRI,0.47
31,CUB,-0.07
32,CYP,0.42
33,CZE,0.66
34,DEU,1.82
35,DNK,2.4
36,DOM,-0.44
37,DZA,-0.64
38,ECU,-0.63
39,EGY,-0.68
40,ERI,-1.28
41,ESP,0.69
42,EST,1.54
43,ETH,-0.44
44,FIN,2.25
45,FRA,1.26
46,GAB,-1.05
47,GBR,1.62
48,GEO,0.62
49,GHA,-0.05
50,GIN,-1.01
51,GNQ,-1.6
52,GRC,0.04
53,GTM,-1.21
54,HKG,1.61
55,HND,-1.0
56,HRV,0.15
57,HTI,-1.46
58,HUN,-0.1
59,IDN,-0.43
60,IND,-0.32
61,IRL,1.67
62,IRN,-1.13
63,IRQ,-1.21
64,ISL,1.57
65,ISR,0.78
66,ITA,0.53
67,JAM,-0.02
68,JOR,0.07
69,JPN,1.54
70,KAZ,-0.19
71,KEN,-0.76
72,KGZ,-1.23
73,KHM,-1.24
74,KOR,0.75
75,KWT,0.13
76,LAO,-0.97
77,LBN,-1.13
78,LBR,-0.93
79,LBY,-1.53
80,LKA,-0.38
81,LTU,0.75
82,LUX,1.88
83,LVA,0.69
84,MAR,-0.36
85,MDA,-0.34
86,MDG,-1.01
87,MEX,-1.01
88,MKD,-0.32
89,MLI,-0.88
90,MLT,0.24
91,MMR,-1.15
92,MNE,-0.12
93,MOZ,-0.84
94,MRT,-0.8
95,MUS,0.41
96,MWI,-0.61
97,MYS,0.25
98,NER,-0.59
99,NGA,-1.1
100,NIC,-1.29
101,NLD,1.92
102,NOR,2.07
103,NPL,-0.53
104,NZL,2.16
105,OMN,0.05
106,PAK,-0.8
107,PAN,-0.63
108,PER,-0.81
109,PHL,-0.54
110,PNG,-0.7
111,POL,0.51
112,PRT,0.73
113,PRY,-1.09
114,QAT,0.8
115,ROU,0.02
116,RUS,-0.98
117,RWA,0.56
118,SAU,0.36
119,SDN,-1.4
120,SEN,-0.03
121,SGP,2.09
122,SLE,-0.56
123,SLV,-0.64
124,SOM,-1.79
125,SRB,-0.46
126,SSD,-1.86
127,SVK,0.21
128,SVN,0.77
129,SWE,2.06
130,SYR,-1.78
131,TCD,-1.49
132,TGO,-0.65
133,THA,-0.45
134,TJK,-1.43
135,TKM,-1.44
136,TTO,-0.38
137,TUN,-0.25
138,TUR,-0.47
139,TZA,-0.34
140,UGA,-1.04
141,UKR,-0.63
142,URY,1.61
143,USA,1.1
144,UZB,-0.76
145,VEN,-1.65
146,VNM,-0.29
147,YEM,-1.68
148,ZAF,-0.32
149,ZMB,-0.53
150,ZWE,-1.26
