,COUNTRY,SC
0,AFG,-1.73
1,AGO,-0.76
2,ALB,0.05
3,ARE,0.7
4,ARG,-0.2
5,ARM,-0.16
6,AUS,1.54
7,AUT,1.28
8,AZE,-0.67
9,BDI,-1.26
10,BEL,1.09
11,BEN,-0.27
12,BFA,-0.84
13,BGD,-0.82
14,BGR,0.17
15,BHR,0.11
16,BHS,0.6
17,BIH,-0.45
18,BLR,-1.12
19,BOL,-0.74
20,BRA,-0.28
21,CAF,-1.62
22,CAN,1.43
23,CHE,1.73
24,CHL,0.73
25,CHN,-0.29
26,CIV,-0.38
27,CMR,-1.08
28,COD,-1.58
29,COL,-0.21
30,CRI,0.65
31,CUB,-0.56
32,CYP,0.64
33,CZE,1.06
34,DEU,1.32
35,DNK,1.78
36,DOM,0.05
37,DZA,-0.74
38,ECU,-0.54
39,EGY,-0.68
40,ERI,-1.67
41,ESP,0.73
42,EST,1.26
43,ETH,-0.99
44,FIN,1.67
45,FRA,1.03
46,GAB,-0.77
47,GBR,1.23
48,GEO,0.37
49,GHA,-0.01
50,GIN,-1.0
51,GNQ,-1.27
52,GRC,0.38
53,GTM,-0.69
54,HKG,1.07
55,HND,-0.74
56,HRV,0.51
57,HTI,-1.51
58,HUN,0.37
59,IDN,-0.0
60,IND,-0.06
61,IRL,1.49
62,IRN,-1.36
63,IRQ,-1.54
64,ISL,1.46
65,ISR,0.51
66,ITA,0.65
67,JAM,0.19
68,JOR,-0.0
69,JPN,1.35
70,KAZ,-0.3
71,KEN,-0.48
72,KGZ,-0.85
73,KHM,-0.73
74,KOR,1.02
75,KWT,0.12
76,LAO,-0.7
77,LBN,-1.19
78,LBR,-0.71
79,LBY,-1.74
80,LKA,-0.33
81,LTU,1.04
82,LUX,1.7
83,LVA,0.87
84,MAR,-0.27
85,MDA,-0.16
86,MDG,-0.8
87,MEX,-0.49
88,MKD,0.03
89,MLI,-1.23
90,MLT,0.61
91,MMR,-1.67
92,MNE,0.15
93,MOZ,-0.86
94,MRT,-0.73
95,MUS,0.74
96,MWI,-0.43
97,MYS,0.44
98,NER,-0.85
99,NGA,-1.01
100,NIC,-1.02
101,NLD,1.52
102,NOR,1.67
103,NPL,-0.45
104,NZL,1.71
105,OMN,0.19
106,PAK,-1.04
107,PAN,-0.05
108,PER,-0.32
109,PHL,-0.2
110,PNG,-0.52
111,POL,0.57
112,PRT,0.91
113,PRY,-0.34
114,QAT,0.64
115,ROU,0.26
116,RUS,-1.09
117,RWA,0.1
118,SAU,0.11
119,SDN,-1.8
120,SEN,-0.08
121,SGP,1.63
122,SLE,-0.69
123,SLV,-0.28
124,SOM,-1.97
125,SRB,-0.08
126,SSD,-2.07
127,SVK,0.54
128,SVN,0.91
129,SWE,1.55
130,SYR,-2.0
131,TCD,-1.41
132,TGO,-0.66
133,THA,-0.11
134,TJK,-1.12
135,TKM,-1.36
136,TTO,0.03
137,TUN,-0.37
138,TUR,-0.56
139,TZA,-0.39
140,UGA,-0.66
141,UKR,-0.62
142,URY,1.01
143,USA,0.99
144,UZB,-0.66
145,VEN,-1.7
146,VNM,-0.34
147,YEM,-1.95
148,ZAF,-0.1
149,ZMB,-0.34
150,ZWE,-1.18
